"","Наименование профессии (должности","Наименование специальной одежды, специальной обуви и других средств индивидуальной защиты","Норма выдачи на год (штуки, пары, комплекты)"
"","Аккумуляторщик","Костюм для защиты от растворов кислот и щелочей
","1 шт."
"","Аккумуляторщик","Фартук для защиты от растворов кислот и щелочей","1 шт."
"","Аккумуляторщик","Сапоги резиновые с защитным подноском","1 пара"
"","Аккумуляторщик","Нарукавники из полимерных материалов","до износа"
"","Аккумуляторщик","Перчатки с полимерным покрытием","12 пар"
"","Аккумуляторщик","Перчатки резиновые или из полимерных материалов","до износа"
"","Аккумуляторщик","Щиток защитный лицевой или","до износа"
"","Аккумуляторщик","Очки защитные","до износа"
"","Аккумуляторщик","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Аппаратчик воздухоразделения","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Аппаратчик воздухоразделения","Перчатки с полимерным покрытием","6 пар"
"","Аппаратчик воздухоразделения","Очки защитные","до износа"
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Фартук для защиты от растворов кислот и щелочей","2 шт."
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Сапоги резиновые с защитным подноском","1 пара"
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Перчатки с полимерным покрытием","12 пар"
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Перчатки резиновые или из полимерных материалов","до износа"
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Щиток защитный лицевой или","до износа"
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Очки защитные","до износа"
"","Аппаратчик испарения; аппаратчик очистки сточных вод; аппаратчик синтеза; аппаратчик химводоочистки; аппаратчик гашения извести; аппаратчик обессоливания воды","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Аппаратчик конденсации","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Аппаратчик конденсации","Перчатки с полимерным покрытием","6 пар"
"","Аппаратчик конденсации","Очки защитные","до износа"
"","Аппаратчик конденсации","Средство индивидуальной защиты органов дыхания изолирующее","до износа"
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Фартук из полимерных материалов с нагрудником","1 шт."
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Сапоги резиновые с защитным подноском","1 пара"
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Перчатки с полимерным покрытием","6 пар"
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Перчатки резиновые или из полимерных материалов","6 пар"
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Очки защитные","до износа"
"","Аппаратчик обезжиривания; пропитчик по огнезащитной пропитке (бакелитчик)","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Арматурщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Арматурщик","Перчатки с полимерным покрытием","12 пар"
"","Арматурщик","Перчатки с точечным покрытием","до износа"
"","Арматурщик","Очки защитные","до износа"
"","Архивариус; архивист; заведующий архивом","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Архивариус; архивист; заведующий архивом","Халат для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Архивариус; архивист; заведующий архивом","Перчатки с точечным покрытием","3 пары"
"","Архивариус; архивист; заведующий архивом","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Балансировщик деталей и узлов","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Балансировщик деталей и узлов","Фартук из полимерных материалов с нагрудником","1 шт."
"","Балансировщик деталей и узлов","Перчатки с полимерным покрытием","12 пар"
"","Балансировщик деталей и узлов","Очки защитные","до износа"
"","Бункеровщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Бункеровщик","Сапоги резиновые с защитным подноском","1 пара"
"","Бункеровщик","Перчатки с полимерным покрытием","12 пар"
"","Бункеровщик","Щиток защитный лицевой или","до износа"
"","Бункеровщик","Очки защитные","до износа"
"","Бункеровщик","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Весовщик; весовщик-счетчик","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Весовщик; весовщик-счетчик","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Весовщик; весовщик-счетчик","Перчатки с полимерным покрытием","12 пар"
"","Водитель","При управлении грузовым, специальным автомобилем, автокраном и тягачом:",""
"","Водитель","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Водитель","Перчатки с полимерным покрытием","6 пар"
"","Водитель","При управлении автобусом, легковым автомобилем и санавтобусом:",""
"","Водитель","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Водитель","Перчатки с точечным покрытием","12 пар"
"","Водитель","Перчатки резиновые или из полимерных материалов","дежурные"
"","Водитель","При перевозке опасных грузов:",""
"","Водитель","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Водитель","Сапоги резиновые с защитным подноском","1 пара"
"","Водитель","Перчатки резиновые или из полимерных материалов","6 пар"
"","Водитель","Щиток защитный лицевой или","до износа"
"","Водитель","Очки защитные","до износа"
"","Водитель","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Водитель погрузчика","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Водитель погрузчика","Сапоги резиновые с защитным подноском","1 пара"
"","Водитель погрузчика","Перчатки с полимерным покрытием","6 пар"
"","Водитель погрузчика","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Водитель электро- и автотележки","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Водитель электро- и автотележки","Перчатки с полимерным покрытием","6 пар"
"","Возчик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Возчик","Перчатки с полимерным покрытием","4 пары"
"","Газовщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Газовщик","Сапоги резиновые с защитным подноском","1 пара"
"","Газовщик","Перчатки с полимерным покрытием","12 пар"
"","Газовщик","Очки защитные","до износа"
"","Газовщик","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Газогенераторщик; генераторщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Газогенераторщик; генераторщик","Перчатки с полимерным покрытием","12 пар"
"","Газогенераторщик; генераторщик","Очки защитные","до износа"
"","Газогенераторщик; генераторщик","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Костюм для защиты от искр и брызг расплавленного металла","1 шт."
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Ботинки кожаные с защитным подноском для защиты от повышенных температур, искр и брызг расплавленного металла или","2 пары"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Сапоги кожаные с защитным подноском для защиты от повышенных температур, искр и брызг расплавленного металла","2 пары"
"","м","Перчатки с полимерным покрытием или","6 пар"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Перчатки с точечным покрытием","до износа"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Перчатки для защиты от повышенных температур, искр и брызг расплавленного металла","12 пар"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Боты или галоши диэлектрические или","дежурные"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Коврик диэлектрический","дежурные"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Перчатки диэлектрические","дежурные"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Щиток защитный термостойкий со светофильтром или","до износа"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Очки защитные термостойкие со светофильтром","до износа"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Очки защитные","до износа"
"","Газорезчик; газосварщик; электрогазосварщик; электросварщик ручной сварки; электросварщик на автоматических и полуавтоматических машинах; сварщик арматурных сеток и каркасов; сварщик пластмасс; сварщик термитной сварки; сварщик на машинах контактной (прессовой) сварки","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Гальваник; корректировщик ванн","Костюм для защиты от растворов кислот и щелочей или","1 шт."
"","Гальваник; корректировщик ванн","Халат и брюки для защиты от растворов кислот и щелочей","1 комплект"
"","Гальваник; корректировщик ванн","Фартук из полимерных материалов с нагрудником","2 шт."
"","Гальваник; корректировщик ванн","Сапоги резиновые с защитным подноском","1 пара"
"","Гальваник; корректировщик ванн","Перчатки с полимерным покрытием","6 пар"
"","Гальваник; корректировщик ванн","Перчатки резиновые или из полимерных материалов","6 пар"
"","Гальваник; корректировщик ванн","Щиток защитный лицевой или","до износа"
"","Гальваник; корректировщик ванн","Очки защитные","до износа"
"","Гардеробщик; оператор электронно-вычислительных машин","Костюм для защиты от общих производственных загрязнений или","1 шт."
"","Гардеробщик; оператор электронно-вычислительных машин","Костюм для защиты от общих производственных загрязнений или","1 шт."
"","Горничная","Костюм для защиты от общих производственных загрязнений или","1 шт."
"","Горничная","Халат и брюки для защиты от общих производственных загрязнений","1 комплект"
"","Горничная","Перчатки резиновые или из полимерных материалов","12 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складо","При работе с углем, песком, коксом, торфом и битумом:",""
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Комбинезон для защиты от токсичных веществ и пыли из нетканых материалов","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Перчатки с полимерным покрытием","12 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Очки защитные","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","При работе с кислотами и едкими веществами:",""
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Сапоги резиновые с защитным подноском","1 пара"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Перчатки резиновые или из полимерных материалов","12 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Очки защитные","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","При работе с лесоматериалами:",""
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Перчатки с полимерным покрытием","12 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Очки защитные","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","При работе с прочими грузами, материалами:",""
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Перчатки с полимерным покрытием","12 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","При работе с горячим металлом:",""
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Костюм для защиты от повышенных температур","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Фартук для защиты от повышенных температур","2 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Перчатки с полимерным покрытием","12 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Очки защитные","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","При работе с жидкими ядохимикатами:",""
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Костюм для защиты от растворов кислот и щелочей или","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Комбинезон для защиты от токсичных веществ и пыли из нетканых материалов","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Фартук для защиты от растворов кислот и щелочей","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Сапоги резиновые с защитным подноском","1 пара"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Нарукавники из полимерных материалов","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Перчатки резиновые или из полимерных материалов","6 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Очки защитные","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","При работе с пылящими, сыпучими и твердыми ядохимикатами:",""
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Костюм для защиты от растворов кислот и щелочей или","1 шт."
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Комбинезон для защиты от токсичных веществ и пыли из нетканых материалов","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Сапоги резиновые с защитным подноском","1 пара"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Перчатки с полимерным покрытием","6 пар"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Очки защитные","до износа"
"","Грузчик; подсобный рабочий; подсобный транспортный рабочий; транспортировщик; транспортерщик; оператор механизированных и автоматических складов","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
